"","site","ID","Aluminum.Tag","Code","Sex","leafN_t0","tillerN_t0","bottomLeafN_t0","Block","tillerN_t1","flowerN_t1","Phenology_t1","flowerLength1_t1","flowerLength2_t1","flowerLength3_t1","Tillering_t1","Moisture.Standard_t1","Moisture.High.Clay_t1","Max.Height_t1","Comments_t1","year","flowerN_t0","Phenology_t0","flowerLength1_t0","flowerLength2_t0","flowerLength3_t0","Tillering_t0","Moisture.Standard_t0","Moisture.High.Clay_t0","Max.Height_t0","Comments_t0","MaxWidth_t1","MaxLength_t1","MaxWidth_t0","MaxLength_t0","sum_widths","clone_area_t0","clone_area_t1","Longitude","Latitude","long.scaled","long.center","unique.block","flow_t1","pc_fn","surv_t1","delta.tiller","log_ratio","ploidy","symb","col"
"2039","ozona",350,3,"SSC","M",7,3,0,1,1,0,NA,NA,NA,NA,NA,17.4,7,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.1",0,0,1,-2,-1.09861228866811,"low",24,"red"
"2040","ozona",368,15,"SLR","F",NA,2,NA,3,0,NA,"",NA,NA,NA,NA,NA,NA,NA,"",2016,0,NA,NA,NA,NA,NA,2.6,5.2,NA,"",NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.3",NA,NA,0,-2,NA,"low",21,"blue"
"2041","ozona",67,84,"CWM","M",NA,1,NA,14,3,0,"",NA,NA,NA,NA,NA,NA,NA,"14 cm outward",2016,0,NA,NA,NA,NA,0,2.2,3.9,NA,"",10,0,NA,NA,NA,NA,1,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.14",0,0,1,2,1.09861228866811,"low",24,"red"
"2042","ozona",219,5,"QLP","M",NA,10,NA,1,36,16,"3",10,12.1,8.7,NA,NA,NA,NA,"",2016,1,NA,13.1,NA,NA,NA,8.7,6.2,NA,"First Plant Censused ",62.5,36,NA,NA,NA,NA,7068.58347057703,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.1",1,0.444444444444444,1,26,1.28093384546206,"low",24,"red"
"2043","ozona",355,70,"SSC","M",NA,11,NA,12,19,7,"done",15.1,6.9,6.1,NA,NA,NA,NA,"tiller count difficul, growing in cactus",2017,4,"2",15.3,11,13.2,NA,NA,NA,NA,"",70,46,46,32,78,4624.42438608418,10115.9283445591,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.12",1,0.368421052631579,1,8,0.54654370636807,"low",24,"red"
"2044","ozona",313,26,"COB","F",6,2,0,5,2,0,NA,NA,NA,NA,NA,3.3,6.6,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.5",0,0,1,0,0,"low",21,"blue"
"2045","ozona",319,47,"SLR","M",12,4,0,8,20,4,NA,11.9,7.1,9,0,0,1.9,"33","",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.8",1,0.2,1,16,1.6094379124341,"low",24,"red"
"2046","ozona",318,69,"COB","M",8,2,0,12,2,0,NA,NA,NA,NA,0,0,1.7,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.12",0,0,1,0,0,"low",24,"red"
"2047","ozona",121,68,"HHC","M",NA,4,NA,12,18,1,"2",8.6,NA,NA,NA,NA,NA,NA,"",2016,0,NA,NA,NA,NA,1,0,2.5,NA,"",58,20,NA,NA,NA,NA,3644.24747816416,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.12",1,0.0555555555555556,1,14,1.50407739677627,"high",24,"red"
"2048","ozona",306,18,"LAR","M",2,1,4,3,2,0,NA,NA,NA,NA,NA,0,5,NA,"",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.3",0,0,1,1,0.693147180559945,"low",24,"red"
"2049","ozona",373,57,"SLR","M",NA,26,NA,10,196,37,"open",13.5,13.2,12.5,NA,NA,NA,NA,"",2017,1,"3",13.6,NA,NA,NA,NA,NA,NA,"",100,86,53,34,87,5661.14996176881,27017.6968208722,-101.2,30.71,-1.21541239100146,-2.76163664285714,"ozona.10",1,0.188775510204082,1,170,2.02001812120904,"low",24,"red"
