id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
16652926,VDB,,,PreservedSpecimen,f7731f42-d3eb-4ad1-8868-62cf523acc7b,BRIT268506,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,BRIT,12/27/18,,"identified as filed, taxon from folder transcription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,0,,,,,,,,,,,,,,,,,,,,preprocessed,"2018-12-27 20:40:51",,264,urn:uuid:f7731f42-d3eb-4ad1-8868-62cf523acc7b,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16652926
16653151,VDB,,,PreservedSpecimen,24944b9f-8f34-44e5-adb9-67d81ad87761,BRIT268503,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,BRIT,12/27/18,,"identified as filed, taxon from folder transcription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,0,,,,,,,,,,,,,,,,,,,,preprocessed,"2018-12-27 20:40:51",,264,urn:uuid:24944b9f-8f34-44e5-adb9-67d81ad87761,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16653151
16653257,VDB,,,PreservedSpecimen,bc7e8004-374b-40b9-ae93-a40786ee77fa,BRIT268507,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,BRIT,12/27/18,,"identified as filed, taxon from folder transcription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,0,,,,,,,,,,,,,,,,,,,,preprocessed,"2018-12-27 20:40:51",,264,urn:uuid:bc7e8004-374b-40b9-ae93-a40786ee77fa,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16653257
16653414,VDB,,,PreservedSpecimen,d157a13e-1acf-4322-a486-03ca05cbcecf,BRIT268502,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,BRIT,12/27/18,,"identified as filed, taxon from folder transcription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,0,,,,,,,,,,,,,,,,,,,,preprocessed,"2018-12-27 20:40:51",,264,urn:uuid:d157a13e-1acf-4322-a486-03ca05cbcecf,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16653414
16653863,VDB,,,PreservedSpecimen,1bf53b17-48cc-448b-ad9f-7f1bed9b8f55,BRIT268501,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,BRIT,12/27/18,,"identified as filed, taxon from folder transcription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States",,,,,,0,,,,,,,,,,,,,,,,,,,,preprocessed,"2018-12-27 20:40:51",,264,urn:uuid:1bf53b17-48cc-448b-ad9f-7f1bed9b8f55,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16653863
16790107,APSC,,,PreservedSpecimen,e4bc1680-286f-4585-8079-ecd40c78a936,APSC0064594,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"R. Kral",,,1998-04-27,1998,4,27,117,,,,,,,,,,,,,,,,,,,"United States",Texas,Tarrant,,,,0,,,,,,,,,,,,,,,,,,,,Masebrock,"2019-05-26 13:21:00",,170,urn:uuid:e4bc1680-286f-4585-8079-ecd40c78a936,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16790107
17022938,UARK,,,PreservedSpecimen,,UARK070838,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"D. M. Moore",,510294,1951-05-06,1951,5,6,126,,1951-5-6,,"Ry. right-of-way.",,,,,,,,,,,,,,,"United States",Arkansas,Craighead,,"5 mi. N. of Jonesboro.",,,,,,,,,,,,,,76,,,,,250',,en,alexanderworm,"2019-07-11 00:00:00",,255,urn:uuid:de281a87-975c-4167-a8f3-417a0636d4f6,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17022938
17022941,UARK,,,PreservedSpecimen,,UARK070839,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"E. L. Nielsen",,3697,1936-05-23,1936,5,23,144,,1936-5-23,,,,,,,,,,,,,,,,,"United States",Arkansas,Washington,,"University Campus Fayetteville.",,,,,,,,,,,,,,,,,,,,,en,alexanderworm,"2018-02-03 00:00:00",,255,urn:uuid:7fa053b7-d375-4310-b7e5-218074f89152,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17022941
17022942,UARK,,,PreservedSpecimen,,UARK070840,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"E. L. Nielsen",,4838,1937-05-03,1937,5,3,123,,1937-5-3,,"Athletic field. Female.",,,,,,,,,,,,,,,"United States",Arkansas,Washington,,"Fayetteville, Athletic field, University of Ark.",,,,,,,,,,,,,,,,,,,,,en,alexanderworm,"2018-02-03 00:00:00",,255,urn:uuid:83af1a25-48d1-4447-a10d-b4c7cc2b2916,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17022942
17022943,UARK,,,PreservedSpecimen,,UARK070841,,Plantae,Magnoliophyta,,Poales,Poaceae,"Poa arachnifera",18590,Torr.,Poa,arachnifera,,,,,,,,,,"Dortha Murphy",,,1951-05-02,1951,5,2,122,,1951-5-2,,Campus.,,,,,,,,,,,,,,,"United States",Arkansas,Washington,,"Fayetteville. Campus",,,,,,,,,,,,,,,,,,,,,en,alexanderworm,"2018-02-03 00:00:00",,255,urn:uuid:3631b4bc-1168-4d8c-a742-97bf14063f6e,http://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17022943
